State,StateName,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+
AL,Alabama,0.23,0.09,0.12,0.25,0.13,0.18
AK,Alaska,0.26,0.09,0.13,0.25,0.13,0.14
AZ,Arizona,0.23,0.10,0.12,0.24,0.12,0.19
AR,Arkansas,0.24,0.09,0.11,0.25,0.13,0.18
CA,California,0.23,0.09,0.13,0.27,0.12,0.16
CO,Colorado,0.22,0.09,0.14,0.27,0.12,0.16
CT,Connecticut,0.22,0.08,0.12,0.26,0.15,0.18
DE,Delaware,0.22,0.07,0.12,0.24,0.14,0.21
FL,Florida,0.20,0.08,0.11,0.25,0.14,0.22
GA,Georgia,0.25,0.09,0.12,0.27,0.13,0.15
HI,Hawaii,0.22,0.07,0.11,0.26,0.13,0.21
ID,Idaho,0.26,0.09,0.12,0.25,0.12,0.17
IL,Illinois,0.23,0.09,0.12,0.26,0.13,0.17
IN,Indiana,0.24,0.09,0.12,0.25,0.13,0.17
IA,Iowa,0.24,0.09,0.12,0.24,0.13,0.18
KS,Kansas,0.25,0.09,0.11,0.24,0.12,0.17
KY,Kentucky,0.24,0.09,0.12,0.25,0.13,0.18
LA,Louisiana,0.25,0.09,0.12,0.25,0.13,0.17
ME,Maine,0.19,0.07,0.11,0.25,0.16,0.23
MD,Maryland,0.23,0.08,0.12,0.26,0.14,0.17
MA,Massachusetts,0.21,0.09,0.13,0.26,0.14,0.18
MI,Michigan,0.22,0.09,0.12,0.25,0.14,0.19
MN,Minnesota,0.24,0.09,0.12,0.25,0.13,0.17
MS,Mississippi,0.25,0.09,0.11,0.25,0.13,0.18
MO,Missouri,0.23,0.09,0.12,0.25,0.13,0.18
MT,Montana,0.22,0.09,0.12,0.24,0.13,0.20
NE,Nebraska,0.26,0.09,0.12,0.25,0.12,0.17
NV,Nevada,0.23,0.08,0.13,0.27,0.12,0.17
NH,New Hampshire,0.19,0.08,0.12,0.25,0.16,0.20
NJ,New Jersey,0.23,0.08,0.12,0.27,0.14,0.17
NM,New Mexico,0.23,0.09,0.11,0.25,0.13,0.19
NY,New York,0.21,0.09,0.13,0.26,0.14,0.18
NC,North Carolina,0.23,0.09,0.12,0.26,0.13,0.18
ND,North Dakota,0.24,0.10,0.13,0.24,0.12,0.17
OH,Ohio,0.23,0.09,0.12,0.25,0.13,0.18
OK,Oklahoma,0.25,0.09,0.12,0.25,0.12,0.17
OR,Oregon,0.21,0.08,0.13,0.27,0.12,0.19
PA,Pennsylvania,0.22,0.08,0.12,0.25,0.14,0.20
RI,Rhode Island,0.20,0.09,0.13,0.25,0.15,0.19
SC,South Carolina,0.23,0.08,0.11,0.25,0.14,0.19
SD,South Dakota,0.26,0.08,0.12,0.24,0.13,0.18
TN,Tennessee,0.23,0.09,0.12,0.26,0.13,0.17
TX,Texas,0.26,0.10,0.13,0.27,0.11,0.14
UT,Utah,0.29,0.11,0.13,0.25,0.09,0.12
VT,Vermont,0.19,0.08,0.12,0.25,0.15,0.22
VA,Virginia,0.23,0.09,0.12,0.26,0.13,0.17
WA,Washington,0.22,0.08,0.14,0.27,0.12,0.17
WV,West Virginia,0.21,0.08,0.10,0.25,0.14,0.21
WI,Wisconsin,0.22,0.09,0.12,0.25,0.14,0.19
WY,Wyoming,0.24,0.08,0.11,0.25,0.13,0.19
