state,healthcare_costs,average_temperature,hotOrCold,air_quality_index,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races,racialDiversity,happiness_score,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,gun_death_rate,Gun Deaths,politicalAffiliation,Crime Reported,crime_rate,Violent Crime Reported,violent_crime_rate,Non-Violent Crime Reported,non_violent_crime_rate,Abortion Legality,abortion,minimum_standard_wage,average_income,Families Mean Income,Families Median Income
Alaska,13642,-3,Cold,29.1,57.70%,2.80%,7.30%,6.10%,12.80%,1.60%,11.60%,Not so important,46.27,25.50%,8.80%,13.40%,25.30%,13.00%,13.90%,25.2,182,Red,10647,5358.896,6126,837.849,33056,4521.047,Legal,Yes,10.85,68919,112443,92648
Alabama,9280,17.1,Hot,46.6,64.50%,25.20%,4.80%,1.40%,0.20%,N/A,3.90%,Very Important,39.32,23.30%,8.80%,11.70%,24.90%,13.20%,18.10%,26.4,1315,Red,26596,4727.065,22322,453.558,210322,4273.507,Banned,No,7.25,50637,86610,66772
Arkansas,9338,15.8,Hot,43.1,67.70%,14.10%,8.50%,1.50%,0.40%,0.40%,7.40%,Very Important,38.23,24.30%,9.20%,11.10%,24.90%,12.70%,17.70%,23.3,698,Red,25590,5898.753,20363,671.93,158400,5226.822,Banned,No,11,51787,82767,62067
Arizona,8756,15.7,Hot,45.4,51.80%,4.30%,32.50%,3.50%,3.30%,0.10%,4.40%,Very Important,50.22,23.00%,9.50%,12.30%,24.30%,12.00%,19.00%,18.3,1365,Red,40435,4940.118,35980,484.814,330646,4455.304,Restricted,No,13.85,56667,97003,73456
California,10299,15.2,Hot,46,33.70%,5.10%,40.40%,15.30%,0.20%,0.30%,4.90%,Very Important,59.97,23.10%,8.90%,13.40%,26.60%,12.20%,15.90%,9,3576,Blue,178304,4719.9,174026,442.049,1684108,4277.852,Legal,Yes,15.5,77339,124332,89798
Colorado,8583,7.3,Cold,47.1,65.00%,3.60%,22.60%,3.10%,0.40%,0.10%,5.20%,Very Important,50.7,22.10%,9.00%,14.20%,27.00%,12.00%,15.80%,17.8,1064,Blue,30238,6090.756,24570,423.058,329164,5667.698,Legal,Yes,13.65,74167,119073,92752
Connecticut,12489,9.4,Cold,45,62.00%,9.70%,18.30%,4.70%,0.10%,N/A,5.20%,Very Important,58.15,21.60%,8.30%,11.50%,25.80%,14.50%,18.40%,6.7,248,Blue,9589,3311.746,6459,181.585,111340,3130.161,Legal,Yes,15,84972,139506,102061
Delaware,12899,12.9,Hot,46.4,59.00%,21.10%,10.30%,4.10%,0.10%,N/A,5.40%,Very Important,55.16,21.70%,7.40%,11.80%,23.70%,14.30%,21.10%,16.6,158,Blue,8185,4354.642,4262,431.897,38710,3922.745,Legal,Yes,11.75,61387,107809,84825
Florida,9856,21.5,Hot,46.8,50.80%,14.40%,27.30%,2.80%,0.10%,0.00%,4.60%,Very Important,55.08,20.40%,8.00%,11.30%,25.10%,13.70%,21.60%,14.1,3142,Red,86907,3922.458,83368,383.595,769112,3538.862,Restricted,No,13.65,63597,96492,69670
Georgia,8758,17.5,Hot,38.9,49.80%,30.60%,10.40%,4.40%,0.10%,0.10%,4.70%,Very Important,54.78,24.60%,9.20%,12.10%,26.50%,12.50%,15.10%,20.3,2200,Red,46865,4414.802,42850,400.093,429976,4014.709,Restricted,No,7.25,57129,99832,74127
