State,IncomeTax
AL,4.00%
AK,0.00%
AZ,2.50%
AR,4.70%
CA,12.30%
CO,4.40%
CT,6.99%
DE,7.85%
DC, 0.00%
FL,0.00%
GA,5.75%
HI,11.00%
ID,5.80%
IL,4.95%
IN,5.17%
IA,6.00%
KS,5.70%
KY,6.70%
LA,4.25%
ME,7.15%
MD,8.95%
MA,9.00%
MI,6.65%
MN,9.85%
MS,5.00%
MO,5.95%
MT,6.75%
NE,6.64%
NV,0.00%
NH,0.00%
NJ,11.75%
NM,5.90%
NY,15.00%
NC,4.75%
ND,2.90%
OH,6.49%
OK,4.75%
OR,14.69%
PA,6.86%
RI,5.99%
SC,6.50%
SD,0.00%
TN,0.00%
TX,0.00%
UT,4.85%
VT,8.75%
VA,5.75%
WA,0.00%
WV,6.50%
WI,7.65%
WY,0.00%
